company_id,year,horizon_years,revenue_cagr_value,revenue_cagr_flag,pat_cagr_value,pat_cagr_flag,eps_cagr_value,eps_cagr_flag
BANKBARODA,Mar 2023,5,15.46,NORMAL,,TURNAROUND,,TURNAROUND
BEL,Mar 2018,3,13.61,NORMAL,6.13,NORMAL,,INSUFFICIENT_DATA
BEL,Mar 2022,3,8.11,NORMAL,8.35,NORMAL,,INSUFFICIENT_DATA
BHARTIARTL,Mar 2018,3,-4.91,DECLINE,-24.37,DECLINE,-37.0,DECLINE
BHARTIARTL,Mar 2018,5,1.44,NORMAL,-0.74,DECLINE,-12.94,DECLINE
BHARTIARTL,Mar 2019,3,-5.77,DECLINE,-37.44,DECLINE,-55.04,DECLINE
BHARTIARTL,Mar 2019,5,-1.21,DECLINE,-10.98,DECLINE,-27.52,DECLINE
BHARTIARTL,Mar 2020,3,-2.85,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BHARTIARTL,Mar 2020,5,-1.85,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BHARTIARTL,Mar 2021,3,6.78,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BHARTIARTL,Mar 2021,5,0.83,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BHARTIARTL,Mar 2022,5,4.07,NORMAL,14.39,NORMAL,,INSUFFICIENT_DATA
BHARTIARTL,Mar 2023,3,16.7,NORMAL,,TURNAROUND,,TURNAROUND
BHARTIARTL,Mar 2024,3,14.23,NORMAL,,TURNAROUND,,TURNAROUND
BHEL,Mar 2016,3,-19.51,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BHEL,Mar 2017,3,-10.39,DECLINE,-49.35,DECLINE,-53.58,DECLINE
BHEL,Mar 2018,3,-2.73,DECLINE,-32.9,DECLINE,-37.0,DECLINE
BHEL,Mar 2018,5,-10.03,DECLINE,-42.03,DECLINE,-43.9,DECLINE
BHEL,Mar 2019,3,6.07,NORMAL,,TURNAROUND,,TURNAROUND
BHEL,Mar 2019,5,-5.11,DECLINE,-22.14,DECLINE,-21.4,DECLINE
BHEL,Mar 2020,3,-8.98,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BHEL,Mar 2020,5,-7.28,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BHEL,Mar 2021,3,-15.64,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BHEL,Mar 2021,5,-7.46,DECLINE,,BOTH_NEGATIVE,,BOTH_NEGATIVE
BHEL,Mar 2022,3,-11.35,DECLINE,-23.7,DECLINE,-30.66,DECLINE
BHEL,Mar 2022,5,-5.71,DECLINE,-0.44,DECLINE,,INSUFFICIENT_DATA
BHEL,Mar 2023,3,2.87,NORMAL,,TURNAROUND,,TURNAROUND
BHEL,Mar 2023,5,-4.11,DECLINE,8.35,NORMAL,14.87,NORMAL
BHEL,Mar 2023,10,-7.12,DECLINE,-20.75,DECLINE,-19.73,DECLINE
